"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","†","-7.9","","-18.6","","-13.3","","31.3","","0.0","","","M","","M","0.2","","11","","","M","","M"
"2018-01-02","2018","01","02","†","-7.1","","-12.5","","-9.8","","27.8","","0.0","","","M","","M","0.0","","9","","","M","","M"
"2018-01-03","2018","01","03","†","-5.3","","-11.2","","-8.3","","26.3","","0.0","","","M","","M","0.2","","11","","","M","","M"
"2018-01-04","2018","01","04","†","-7.7","","-19.7","","-13.7","","31.7","","0.0","","","M","","M","0.2","","11","","","M","","M"
"2018-01-05","2018","01","05","†","-14.7","","-20.6","","-17.7","","35.7","","0.0","","","M","","M","0.0","","10","","","M","","M"
"2018-01-06","2018","01","06","†","-15.4","","-22.3","","-18.9","","36.9","","0.0","","","M","","M","0.0","","10","","","M","","M"
"2018-01-07","2018","01","07","†","-1.0","","-17.5","","-9.3","","27.3","","0.0","","","M","","M","0.0","","10","","","M","","M"
"2018-01-08","2018","01","08","†","3.0","","-1.7","","0.7","","17.3","","0.0","","","M","","M","5.4","","11","","","M","","M"
"2018-01-09","2018","01","09","†","1.6","","-0.6","","0.5","","17.5","","0.0","","","M","","M","0.0","","12","","","M","","M"
"2018-01-10","2018","01","10","†","5.9","","-1.3","","2.3","","15.7","","0.0","","","M","","M","0.9","","12","","","M","","M"
"2018-01-11","2018","01","11","†","11.6","","5.6","","8.6","","9.4","","0.0","","","M","","M","9.7","","6","","","M","","M"
"2018-01-12","2018","01","12","†","11.9","","-11.2","","0.4","","17.6","","0.0","","","M","","M","16.5","","","","","M","","M"
"2018-01-13","2018","01","13","†","-11.0","","-14.5","","-12.8","","30.8","","0.0","","","M","","M","0.2","","1","","","M","","M"
"2018-01-14","2018","01","14","†","-5.4","","-14.2","","-9.8","","27.8","","0.0","","","M","","M","0.0","","1","","","M","","M"
"2018-01-15","2018","01","15","†","-5.1","","-8.1","","-6.6","","24.6","","0.0","","","M","","M","3.2","","1","","","M","","M"
"2018-01-16","2018","01","16","†","-2.4","","-8.7","","-5.6","","23.6","","0.0","","","M","","M","1.1","","6","","","M","","M"
"2018-01-17","2018","01","17","†","-4.6","","-11.0","","-7.8","","25.8","","0.0","","","M","","M","0.0","","6","","","M","","M"
"2018-01-18","2018","01","18","†","-3.0","","-7.5","","-5.3","","23.3","","0.0","","","M","","M","0.0","","5","","","M","","M"
"2018-01-19","2018","01","19","†","3.1","","-4.0","","-0.5","","18.5","","0.0","","","M","","M","0.0","","4","","","M","","M"
"2018-01-20","2018","01","20","†","6.8","","0.9","","3.9","","14.1","","0.0","","","M","","M","0.0","","4","","","M","","M"
"2018-01-21","2018","01","21","†","4.2","","-0.1","","2.1","","15.9","","0.0","","","M","","M","0.2","","1","","","M","","M"
"2018-01-22","2018","01","22","†","3.0","","0.9","","2.0","","16.0","","0.0","","","M","","M","11.8","","1","","","M","","M"
"2018-01-23","2018","01","23","†","8.1","","-4.0","","2.1","","15.9","","0.0","","","M","","M","1.7","","","","","M","","M"
"2018-01-24","2018","01","24","†","-3.9","","-10.4","","-7.2","","25.2","","0.0","","","M","","M","0.2","","","","","M","","M"
"2018-01-25","2018","01","25","†","-0.8","","-10.0","","-5.4","","23.4","","0.0","","","M","","M","0.0","","0","T","","M","","M"
"2018-01-26","2018","01","26","†","6.8","","-1.0","","2.9","","15.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"2018-01-27","2018","01","27","†","9.2","","2.9","","6.1","","11.9","","0.0","","","M","","M","0.6","","1","","","M","","M"
"2018-01-28","2018","01","28","†","5.5","","-1.4","","2.1","","15.9","","0.0","","","M","","M","0.0","","0","T","","M","","M"
"2018-01-29","2018","01","29","†","-1.1","","-6.3","","-3.7","","21.7","","0.0","","","M","","M","5.8","","0","T","","M","","M"
"2018-01-30","2018","01","30","†","-6.2","","-12.2","","-9.2","","27.2","","0.0","","","M","","M","0.4","","7","","","M","","M"
"2018-01-31","2018","01","31","†","3.0","","-12.3","","-4.7","","22.7","","0.0","","","M","","M","1.5","","4","","","M","","M"
"2018-02-01","2018","02","01","†","5.6","","-8.9","","-1.7","","19.7","","0.0","","","M","","M","0.0","","5","","","M","","M"
"2018-02-02","2018","02","02","†","-8.6","","-15.0","","-11.8","","29.8","","0.0","","","M","","M","0.2","","3","","","M","","M"
"2018-02-03","2018","02","03","†","0.4","","-9.7","","-4.7","","22.7","","0.0","","","M","","M","1.0","","3","","","M","","M"
"2018-02-04","2018","02","04","†","1.8","","-8.8","","-3.5","","21.5","","0.0","","","M","","M","4.9","","4","","","M","","M"
"2018-02-05","2018","02","05","†","-6.6","","-12.0","","-9.3","","27.3","","0.0","","","M","","M","0.0","","5","","","M","","M"
"2018-02-06","2018","02","06","†","-3.2","","-8.2","","-5.7","","23.7","","0.0","","","M","","M","0.2","","5","","","M","","M"
"2018-02-07","2018","02","07","†","-4.1","","-8.7","","-6.4","","24.4","","0.0","","","M","","M","7.5","","6","","","M","","M"
"2018-02-08","2018","02","08","†","-5.2","","-9.7","","-7.5","","25.5","","0.0","","","M","","M","0.0","","13","","","M","","M"
"2018-02-09","2018","02","09","†","-3.5","","-8.7","","-6.1","","24.1","","0.0","","","M","","M","4.7","","12","","","M","","M"
"2018-02-10","2018","02","10","†","-3.0","","-5.1","","-4.1","","22.1","","0.0","","","M","","M","5.8","","17","","","M","","M"
"2018-02-11","2018","02","11","†","-0.6","","-5.2","","-2.9","","20.9","","0.0","","","M","","M","2.9","","21","","","M","","M"
"2018-02-12","2018","02","12","†","-1.8","","-8.4","","-5.1","","23.1","","0.0","","","M","","M","0.3","","17","","","M","","M"
"2018-02-13","2018","02","13","†","-0.8","","-9.6","","-5.2","","23.2","","0.0","","","M","","M","0.0","","17","","","M","","M"
"2018-02-14","2018","02","14","†","5.7","","-1.0","","2.4","","15.6","","0.0","","","M","","M","0.0","","16","","","M","","M"
"2018-02-15","2018","02","15","†","9.6","","3.1","","6.4","","11.6","","0.0","","","M","","M","0.0","","13","","","M","","M"
"2018-02-16","2018","02","16","†","4.8","","-5.0","","-0.1","","18.1","","0.0","","","M","","M","0.0","","7","","","M","","M"
"2018-02-17","2018","02","17","†","-0.4","","-5.4","","-2.9","","20.9","","0.0","","","M","","M","0.0","","7","","","M","","M"
"2018-02-18","2018","02","18","†","4.5","","-1.3","","1.6","","16.4","","0.0","","","M","","M","0.0","","7","","","M","","M"
"2018-02-19","2018","02","19","†","5.8","","0.6","","3.2","","14.8","","0.0","","","M","","M","13.3","","5","","","M","","M"
"2018-02-20","2018","02","20","†","15.5","","5.2","","10.4","","7.6","","0.0","","","M","","M","7.6","","2","","","M","","M"
"2018-02-21","2018","02","21","†","14.6","","-1.2","","6.7","","11.3","","0.0","","","M","","M","6.6","","","","","M","","M"
"2018-02-22","2018","02","22","†","1.2","","-1.9","","-0.4","","18.4","","0.0","","","M","","M","0.2","","","","","M","","M"
"2018-02-23","2018","02","23","†","6.9","","-0.3","","3.3","","14.7","","0.0","","","M","","M","2.5","","","","","M","","M"
"2018-02-24","2018","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-25","2018","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-26","2018","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-27","2018","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-28","2018","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-01","2018","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-02","2018","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-03","2018","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-04","2018","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-05","2018","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-06","2018","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-07","2018","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-08","2018","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-09","2018","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-10","2018","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-11","2018","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-12","2018","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-13","2018","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-14","2018","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-15","2018","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-16","2018","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-17","2018","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-18","2018","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-19","2018","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-20","2018","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-21","2018","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-22","2018","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-23","2018","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-24","2018","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-25","2018","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-26","2018","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-27","2018","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-28","2018","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-29","2018","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-30","2018","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-31","2018","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-01","2018","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-02","2018","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-03","2018","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-04","2018","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-05","2018","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-06","2018","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-07","2018","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-08","2018","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-09","2018","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-10","2018","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-11","2018","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-12","2018","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-13","2018","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-14","2018","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-15","2018","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-16","2018","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-17","2018","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-18","2018","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-19","2018","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-20","2018","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-21","2018","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-22","2018","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-23","2018","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-24","2018","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-25","2018","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-26","2018","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-27","2018","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-28","2018","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-29","2018","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-30","2018","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-01","2018","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-02","2018","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-03","2018","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-04","2018","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-05","2018","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-06","2018","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-07","2018","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-08","2018","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-09","2018","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-10","2018","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-11","2018","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-12","2018","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-13","2018","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-14","2018","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-15","2018","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-16","2018","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-17","2018","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-18","2018","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-19","2018","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-20","2018","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-21","2018","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-22","2018","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-23","2018","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-24","2018","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-25","2018","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-26","2018","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-27","2018","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-28","2018","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-29","2018","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-30","2018","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-31","2018","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-01","2018","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-02","2018","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-03","2018","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-04","2018","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-05","2018","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-06","2018","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-07","2018","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-08","2018","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-09","2018","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-10","2018","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-11","2018","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-12","2018","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-13","2018","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-14","2018","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-15","2018","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-16","2018","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-17","2018","06","17","","","","","","","","","","","","","","","","","","","","","","",""
